Primary element,count
Sensores Cloro 744A0590.ST,19
Alvura D1,17
Tanque Eq LVB > 50%,13
Emissões Atmosféricas 782A0390.ME,11
Sensores Cloro 763A0550.ST,10
Alvura Deslig,10
Polpa P/ Blow do Dig G2 - 761T0147.PV,10
Cond Lagoa de Contenção GB486pH256,8
Sensores Cloro 744A0592.ST,7
Caustificação G1 - L1,7
Esvaziamento APP,5
Forno de Cal 2,4
Sensores Cloro GB463CLS_475_2.PV,4
Sensores Cloro 744A0595.ST,3
Análise de Laboratório ETE,3
Sensores Cloro GB452CL2SA_094.PV,3
Alvura Final G1,3
Sensores Cloro 744A0598.ST,3
Turbidez ETA,2
Emissões Atmosféricas GB382A065,2
Sensores Cloro GB454CL2SA_097.PV,2
Sensores Cloro 744A0594.ST,2
Sensores Cloro GB455CL2SA_035.PV,2
Percentual Malhas Auto,2
Polpa Celuduto,2
Caustificação G1 - L2,2
Caustificação G2,2
Digestor 2,2
Emissões Atmosféricas 782A0388,1
Sujidade MS1,1
Turbidez Bruta,1
Emissões Atmosféricas 773A0082.M3,1
Sensores Cloro GB451CL2SH_079.PV,1
Cond Lagoa de Contenção GB486C257,1
Sensores Cloro GB451CL2SH_107.PV,1
Sensores Cloro GB382TRS_026_2,1
Sensores Cloro 763A0818.ST,1
